City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,edinburgh of the seven seas,-37.0676,-12.3116,63.18,74,0,18.23,SH,2025-03-09 12:43:02
69,kapuskasing,49.4169,-82.4331,15.89,86,100,5.75,CA,2025-03-09 12:43:03
70,kununurra,-15.7667,128.7333,87.78,58,44,6.91,AU,2025-03-09 12:43:05
71,vadso,70.0744,29.7487,28.56,80,0,11.5,NO,2025-03-09 12:43:06
72,hithadhoo,-0.6,73.0833,83.01,70,39,14.32,MV,2025-03-09 12:43:08
73,port elizabeth,-33.918,25.5701,73.69,91,0,16.11,ZA,2025-03-09 12:39:21
74,al buraymi,24.2509,55.7931,92.62,16,0,6.91,OM,2025-03-09 12:43:11
75,lebu,-37.6167,-73.65,57.0,58,10,20.67,CL,2025-03-09 12:43:12
76,nova sintra,14.8667,-24.7167,70.29,74,0,16.24,CV,2025-03-09 12:43:13
77,tsiombe,-25.3,45.4833,86.45,68,10,15.37,MG,2025-03-09 12:43:14
78,longyearbyen,78.2186,15.6401,13.84,85,75,4.61,SJ,2025-03-09 12:38:34
79,hastings,50.8552,0.5729,56.17,77,61,7.76,GB,2025-03-09 12:38:15
80,opuwo,-18.0607,13.84,72.48,68,100,1.12,NA,2025-03-09 12:40:07
81,lundazi,-12.2929,33.1782,79.41,62,100,5.39,ZM,2025-03-09 12:43:19
82,kumylzhenskaya,49.8809,42.5898,49.39,43,10,8.08,RU,2025-03-09 12:43:21
83,suntar,62.1444,117.6319,-32.53,100,52,2.17,RU,2025-03-09 12:43:22
84,punta arenas,-53.15,-70.9167,44.71,81,0,6.91,CL,2025-03-09 12:41:25
85,whitehorse,60.7161,-135.0538,12.97,92,75,2.3,CA,2025-03-09 12:43:24
86,bath,51.3779,-2.3591,61.52,66,90,11.39,GB,2025-03-09 12:34:18
87,oppdal,62.5943,9.6912,33.46,96,100,6.33,NO,2025-03-09 12:43:26
88,san patricio,28.017,-97.5169,53.55,52,100,15.75,US,2025-03-09 12:43:28
89,bryanka,48.511,38.6722,53.67,34,46,4.97,UA,2025-03-09 12:43:29
90,wewak,-3.5534,143.6268,81.01,82,100,6.8,PG,2025-03-09 12:43:30
91,blackmans bay,-43.0167,147.3167,65.52,89,100,1.01,AU,2025-03-09 12:43:31
92,praia da vitoria,38.7333,-27.0667,57.45,82,40,18.9,PT,2025-03-09 12:43:34
93,maiduguri,11.8464,13.1603,103.08,8,5,13.33,NG,2025-03-09 12:43:35
94,fisterra,42.9049,-9.2629,55.18,71,88,30.15,ES,2025-03-09 12:43:36
95,uturoa,-16.7333,-151.4333,82.51,77,100,13.49,PF,2025-03-09 12:43:37
96,san antonio de pale,-1.4014,5.6325,82.87,79,47,11.25,GQ,2025-03-09 12:43:38
97,al burayqah,30.4062,19.5739,67.84,60,0,8.9,LY,2025-03-09 12:43:39
98,tromso,69.6496,18.957,32.02,86,75,3.44,NO,2025-03-09 12:43:40
99,hawaiian paradise park,19.5933,-154.9731,66.9,98,100,6.91,US,2025-03-09 12:43:41
100,ribeira grande,38.5167,-28.7,59.4,77,75,12.66,PT,2025-03-09 12:43:43
101,valdepenas,38.7621,-3.3848,49.05,65,100,16.98,ES,2025-03-09 12:43:44
102,nzerekore,7.7562,-8.8179,91.51,44,100,3.4,GN,2025-03-09 12:43:45
103,esperanza,19.5847,-70.9849,71.29,91,0,5.12,DO,2025-03-09 12:43:46
104,vila franca do campo,37.7167,-25.4333,57.61,75,67,16.49,PT,2025-03-09 12:43:47
105,mazagao,-0.115,-51.2894,81.5,78,76,4.23,BR,2025-03-09 12:43:48
106,bredasdorp,-34.5322,20.0403,78.21,45,1,20.42,ZA,2025-03-09 12:43:49
107,bardai,11.65,7.2333,100.35,7,37,15.66,NG,2025-03-09 12:43:50
108,ust-nera,64.5667,143.2,-28.82,98,65,1.32,RU,2025-03-09 12:43:51
109,hasaki,35.7333,140.8333,48.88,55,9,16.24,JP,2025-03-09 12:39:03
110,kavala,40.9397,24.4019,59.56,70,0,12.66,GR,2025-03-09 12:43:54
111,west island,-12.1568,96.8225,84.18,89,20,8.05,CC,2025-03-09 12:43:55
112,ancud,-41.8697,-73.8203,50.49,66,100,4.65,CL,2025-03-09 12:41:21
113,cafayate,-26.073,-65.9761,61.48,91,100,6.2,AR,2025-03-09 12:43:57
114,laguna,38.421,-121.4238,44.96,86,0,0.0,US,2025-03-09 12:43:48
115,tiksi,71.6872,128.8694,-17.27,97,97,9.1,RU,2025-03-09 12:43:59
116,natore,24.4165,88.9826,80.04,24,0,6.96,BD,2025-03-09 12:44:00
117,ilulissat,69.2167,-51.1,37.42,65,100,23.02,GL,2025-03-09 12:44:01
118,tomatlan,19.9333,-105.25,61.16,48,0,1.92,MX,2025-03-09 12:44:02
119,stanley,54.868,-1.6985,53.51,93,40,3.44,GB,2025-03-09 12:44:03
120,marsh harbour,26.5412,-77.0636,71.22,71,0,7.36,BS,2025-03-09 12:44:05
121,ban nam yuen,9.8769,98.8659,76.5,93,96,4.74,TH,2025-03-09 12:44:06
122,brooks,50.5834,-111.8851,40.98,56,100,6.91,CA,2025-03-09 12:44:07
123,bokhan,53.153,103.7714,11.59,97,11,0.72,RU,2025-03-09 12:44:08
124,georgetown,5.4112,100.3354,87.73,66,20,3.44,MY,2025-03-09 12:44:09
125,chaoyang,41.5703,120.4586,43.68,59,0,8.16,CN,2025-03-09 12:44:10
126,undurkhaan,47.3194,110.6556,34.83,25,56,24.18,MN,2025-03-09 12:44:11
127,guerrero negro,27.9769,-114.0611,51.58,71,0,4.03,MX,2025-03-09 12:44:12
